zPositions, avgNumOfMethanesAtZ
0.000, 0.000
0.250, 0.000
0.500, 0.000
0.750, 0.000
1.000, 0.000
1.250, 0.000
1.500, 0.000
1.750, 0.000
2.000, 0.000
2.250, 0.000
2.500, 0.000
2.750, 0.000
3.000, 0.048
3.250, 0.169
3.500, 0.069
3.750, 0.014
4.000, 0.003
4.250, 0.001
4.500, 0.000
4.750, 0.000
5.000, 0.001
5.250, 0.001
5.500, 0.003
5.750, 0.009
6.000, 0.030
6.250, 0.057
6.500, 0.060
6.750, 0.041
7.000, 0.023
7.250, 0.012
7.500, 0.007
7.750, 0.005
8.000, 0.003
8.250, 0.003
8.500, 0.004
8.750, 0.005
9.000, 0.008
9.250, 0.011
9.500, 0.013
9.750, 0.012
10.000, 0.009
10.250, 0.006
10.500, 0.004
10.750, 0.003
11.000, 0.002
11.250, 0.001
11.500, 0.001
11.750, 0.001
12.000, 0.001
12.250, 0.001
12.500, 0.001
12.750, 0.001
13.000, 0.000
13.250, 0.000
13.500, 0.000
13.750, 0.000
14.000, 0.000
14.250, 0.000
14.500, 0.000
14.750, 0.000
15.000, 0.000
15.250, 0.000
15.500, 0.000
15.750, 0.000
16.000, 0.000
16.250, 0.000
16.500, 0.000
16.750, 0.000
17.000, 0.000
17.250, 0.000
17.500, 0.000
17.750, 0.000
18.000, 0.000
18.250, 0.000
18.500, 0.000
18.750, 0.000
19.000, 0.000
19.250, 0.000
19.500, 0.000
19.750, 0.000
20.000, 0.000
20.250, 0.000
20.500, 0.000
20.750, 0.000
21.000, 0.000
21.250, 0.000
21.500, 0.000
21.750, 0.000
22.000, 0.000
22.250, 0.000
22.500, 0.000
22.750, 0.000
23.000, 0.000
23.250, 0.000
23.500, 0.000
23.750, 0.000
24.000, 0.000
24.250, 0.000
24.500, 0.000
24.750, 0.000
25.000, 0.000
25.250, 0.000
25.500, 0.000
25.750, 0.000
26.000, 0.000
26.250, 0.000
26.500, 0.000
26.750, 0.000
27.000, 0.000
27.250, 0.000
27.500, 0.000
27.750, 0.000
28.000, 0.000
28.250, 0.000
28.500, 0.000
28.750, 0.000
29.000, 0.000
29.250, 0.000
29.500, 0.000
29.750, 0.000
30.000, 0.000
30.250, 0.000
30.500, 0.000
30.750, 0.000
31.000, 0.000
31.250, 0.000
31.500, 0.000
31.750, 0.000
32.000, 0.000
32.250, 0.000
32.500, 0.000
32.750, 0.000
33.000, 0.000
33.250, 0.000
33.500, 0.000
33.750, 0.000
34.000, 0.000
34.250, 0.000
34.500, 0.000
34.750, 0.000
35.000, 0.000
35.250, 0.000
35.500, 0.000
35.750, 0.000
36.000, 0.000
36.250, 0.000
36.500, 0.000
36.750, 0.000
37.000, 0.000
37.250, 0.000
37.500, 0.000
37.750, 0.001
38.000, 0.001
38.250, 0.001
38.500, 0.001
38.750, 0.001
39.000, 0.002
39.250, 0.004
39.500, 0.005
39.750, 0.008
40.000, 0.010
40.250, 0.011
40.500, 0.010
40.750, 0.007
41.000, 0.005
41.250, 0.004
41.500, 0.003
41.750, 0.004
42.000, 0.005
42.250, 0.007
42.500, 0.012
42.750, 0.023
43.000, 0.040
43.250, 0.059
43.500, 0.054
43.750, 0.028
44.000, 0.009
44.250, 0.003
44.500, 0.001
44.750, 0.001
45.000, 0.000
45.250, 0.001
45.500, 0.001
45.750, 0.003
46.000, 0.014
46.250, 0.071
46.500, 0.166
46.750, 0.048
47.000, 0.000
47.250, 0.000
47.500, 0.000
47.750, 0.000
48.000, 0.000
48.250, 0.000
48.500, 0.000
48.750, 0.000
49.000, 0.000
49.250, 0.000
49.500, 0.000
